상품명,상품가격,상품번호,제조사,제조국
★셀럽 착용★[Signature] ROBE Drape Dress_Classic Mint,"204,410원",1000061378722,MUSEE/해당사항 없음,한국
빈티지 페이즐리 원피스 (T214MOP262W),"136,330원",1000066201451,(주)지엔코/(주)지엔코,중국
[라인어디션][N602]플라워 러플 카라 원피스(NWOPKH0700),"82,251원",1000066948046,(주)린컴퍼니/(주)린컴퍼니,중국
앰버 프린트 셔링 티어드 원피스 (JVOP321H),"101,916원",1000067228310,(주)티비에이치글로벌/(주)티비에이치글로벌,중국
변형 세일러카라 티어드 원피스(PM2WO403),"52,472원",1000065328415,(주)제이씨패밀리/해당사항 없음,한국
[라인어디션](N753) 퍼프 슬리브 셔츠 원피스(NGOPKH9900),"65,949원",1000052956228,(주)린 컴퍼니/(주)린 컴퍼니,베트남
카라 프린트 플리츠 원피스(PM2WO402),"59,114원",1000064389795,(주)제이씨패밀리/(주)제이씨패밀리,중국
[5월 17일 예약배송] 플리츠 블록 원피스 (MOBBOP13S4),"79,200원",1000065843389,㈜퍼스트에프엔씨/㈜퍼스트에프엔씨,중국
사이드 슬릿 셔츠 원피스 (SWWOPK21460),"46,920원",1000048998494,(주)인동에프엔/(주)인동에프엔,베트남
린 민소매 A라인원피스(LGOPKG9800),"65,970원",1000048379228,(주)테난/(주)테난,중국
(지고트) 플리츠 배색 집업 칼라 원피스 JK3A0OP89,"122,851원",1000042660145,(주)바바패션/(주)바바패션,중국
[케네스레이디] (E598) 플라워 소녀 쉬폰원피스 (EWOPKH0600),"72,618원",1000063666246,(주)린컴퍼니/(주)린컴퍼니,중국
프린트 카라 싱글버튼 원피스 (AM2WO462),"55,174원",1000064981157,(주)LAP/(주)LAP,중국
오픈 칼라 플랩 시어서커 원피스(GK4M0OPP4),"40,180원",1000043955718,바바패션/(주)바바패션,베트남
폴로 랄프 로렌 여성 숏 슬리브 폴로 셔츠드레스(WMPODRSNFA20105001),"239,000원",1000069055810,랄프로렌코리아 유한회사/랄프로렌코리아 유한회사,베트남
[지컷21S/S]브루노 코튼 원피스(7251237015),"94,139원",1000062580306,(주)워너비트레이딩/(주)신세계인터내셔날,중국
배색 레이어드 플레어 원피스 7250337012140,"149,000원",1000051657448,신세계인터내셔날/신세계인터내셔날,중국
E542 퍼프 소매 브이넥 벨티드 원피스 ECOPKG7200,"49,647원",1000067840260,(주)라인바이린/(주)라인 바이린,중국
[라인](N604)브이넥 랩 A라인 원피스(NGOPKH92L),"43,719원",1000067641158,(주)린컴퍼니/(주)린컴퍼니,중국
[VOV]보브  벨트 포인트 버튼업 원피스(7120237512),"70,400원",1000064005684,(주)신세계인터네셔날/(주)신세계인터네셔날,중국
프릴 반팔 소매 원피스 (T214MOP253W),"195,030원",1000064456534,(주)지엔코/(주)지엔코,중국
[라인](N604)퍼프 슬리브 셔츠 원피스(NGOPKH99L),"46,683원",1000067629751,(주)린컴퍼니/(주)린컴퍼니,베트남
[라인어디션][N602]카라 포인트 버튼업 원피스 (NWOPKF6000),"51,129원",1000050261779,(주)린컴퍼니/(주)린컴퍼니,중국
[SATIN] [5/31일 예약배송] [온라인단독] [나나착용]플라워 머메이드 원피스 O211T601-03,"112,320원",1000065596569,㈜와이에스콜렉션/㈜와이에스콜렉션,중국
쿨피스 브이넥 민소매 원피스 (T214MOP299W),"169,870원",1000068927805,(주)지엔코/(주)지엔코,중국
[HSDR-1B406] 헤지스레이디스 벨티드 면혼방 반팔 PK 롱원피스,"128,880원",1000063582623,LF/LF,베트남
[Blue Label]허리 러플 포인트 아노락 후드 원피스(EM2OOP04),"103,032원",1000064987718,(주)제이씨패밀리/해당사항 없음,한국
[라인](N604)더블버튼 브이넥 카라 원피스(NWOPKG06L),"76,323원",1000067647664,(주)린컴퍼니/(주)린컴퍼니,중국
모어[MORH] 인견100 아트 프린팅 원피스 3종,"53,751원",1000066880081,(주)트라이씨클/제조원: (주)WEIHAI BAOLIYA수입원: (주)엘엔에스갤러리,중국
레이스 칼라 퍼프 원피스 (GK7A0OP14),"105,780원",1000065387238,(주)바바패션/해당사항 없음,한국
캉캉 미니 원피스LU61A5OP519X,"37,927원",1000064399474,(주)아이디조이/(주)아이디조이,중국
에스닉 타슬 롱 원피스(AM2WO482),"48,190원",1000066083056,(주)랩/(주)랩,중국
오로라 플라워 원피스LU31A5OP527X,"44,523원",1000065020832,(주)아이디조이/(주)아이디조이,중국
밴딩 롱 라운드넥 원피스 SAOPD2861,"157,440원",1000068831228,주베네통코리아/중국,중국
하늘롱 여성 플라워 7부소매 롱원피스,"20,228원",1000044630419,바비수아/해당사항 없음,기타
(E504)[케네스레이디] 라펠 퍼프 숄더 원피스(EWOPKF1900),"61,503원",1000067449127,(주)라인 바이린/(주)라인 바이린,중국
허리스모킹 레이스장식 뷔스티에 원피스(PM2WO484),"39,188원",1000065417380,(주)제이씨패밀리/(주)제이씨패밀리,중국
[made by LAP] 스트링 디테일 데님 오버롤 (AM2DO460),"48,190원",1000066462827,(주)LAP/(주)LAP,중국
[라인어디션] (N755) 플리츠 벨티드 원피스 (NWOPKH0500),"73,359원",1000067445459,(주) 린컴퍼니/(주) 린컴퍼니,중국
[지컷21S/S]러플 헴라인 원피스(7251237002),"87,821원",1000061012065,(주)성현인터내셔날/(주)신세계인터내셔날,중국
(LYNN/L448)단추포인트원피스(LWOPJH0600),"578,000원",1000065492230,(주)테난/해당사항 없음,한국
[지컷21S/S]워싱 캐주얼 데님 원피스(7251255003),"113,093원",1000061405915,(주)신세계인터내셔날/해당사항 없음,한국
[5월 18일 순차배송] 컬러 배색 스트링 원피스 (MOBBOP12S4),"42,400원",1000065395627,㈜퍼스트에프엔씨/㈜퍼스트에프엔씨,중국
[라인](N604)버튼 스트랩 셔츠 원피스(NGOPKF99L),"80,769원",1000066583014,(주)린컴퍼니/(주)린컴퍼니,베트남
슬림핏 반팔 데님 원피스(AM2DO562),"55,174원",1000066925769,(주)LAP/(주)LAP,중국
벨티드 2컬러 점프수트 [AL212WO521],"28,615원",1000067257698,에이로나/에이로나,상세설명참조
[GARDEN]앞오픈 주름 뷔스티에 원피스 (PM2WO536),"56,580원",1000069281649,(주)제이씨패밀리/(주)제이씨패밀리,중국
[라인어디션](N753) 배색 카라 플리츠 원피스(NWOPKH6200),"76,323원",1000052956230,(주)린 컴퍼니/(주)린 컴퍼니,중국
이다 후드지퍼원피스(LU61A6OP515J),"37,927원",1000064900891,(주)아이디조이/(주)아이디조이,중국
플로럴 벨티드 원피스(OP-5172),"54,047원",1000052455135,(주)바이와이제이/(주)바이와이제이,중국
와이드 드레스 블랙,"79,900원",1000049728815,H&M/H&M Co.Ltd,중국
쿨피스 핀턱디테일 롱 원피스 (T214MOP303W),"194,790원",1000068918342,(주)지엔코/(주)지엔코,중국
[로엠] WY 카라포인트 플레어 원피스 - RMOW925R13_39,"19,104원",1000065913440,(주)인터파크/해당사항 없음,기타
보태니컬 시폰 원피스 (SWWOPK22040),"37,400원",1000049980935,㈜인동에프엔/㈜인동에프엔,베트남
S 로제프린트 OP(B1M3O672),"126,650원",1000061729497,수인터내셔날/수인터내셔날,중국
앰버 프린트 스트링 원피스 (JVOP426B),"96,672원",1000067229357,(주)티비에이치글로벌/(주)티비에이치글로벌,중국
[라인어디션](N753) 퍼프 셔츠 언발란스 원피스(NGOPLD9500),"179,000원",1000068138881,(주)린 컴퍼니/(주)린 컴퍼니,중국
벨트 스트라이프 셔츠 롱원피스(GL5N0OP57),"40,590원",1000068485567,(주)바바패션/(주)바바패션,중국
[라인어디션][N602]잔체크 핀턱 디테일 원피스(NGOPKG9900),"46,683원",1000066702736,(주)린컴퍼니/(주)린컴퍼니,중국
꽃나염 끈 주름원피스 (MOBBOP07S4),"30,400원",1000064566577,㈜퍼스트에프엔씨/㈜퍼스트에프엔씨,중국
[케네스레이디] (E598) 플라워 프린팅 쉬폰원피스 (EWOPKH06),"72,618원",1000064493019,(주)린컴퍼니/(주)린컴퍼니,중국
[라인어디션][N602]시스루 러플 카라 원피스(NWOPKG0200),"82,251원",1000066703041,(주)린컴퍼니/(주)린컴퍼니,중국
빅 카라 7부 소매 롱 원피스 OW0AO222,"295,200원",1000051099481,올리브데올리브/이룸,중국
[7151237504] 보브 사이드 배색 스트랩 원피스,"111,200원",1000065351634,신세계인터내셔날/중국,중국
[지컷21S/S]고고 체크 원피스(7251237800),"87,821원",1000064636868,1st PENGUIN/(주)신세계인터내셔날,중국
시스루배색 원피스(CK6E0OP63),"71,200원",1000044913954,(주)바바패션/(주)바바패션,중국
나일론 스트링원피스 (AM2WO448),"41,206원",1000064981347,(주)LAP/(주)LAP,중국
쇼트 슬리브 스트라이프 원피스 06630651251,"99,000원",1000064762257,Massimo Dutti/마시모두띠코리아 유한회사,중국
레이스패치 원피스(LU31A6OP524X),"42,050원",1000065533060,(주)아이디조이/(주)아이디조이,중국
브이넥 단추 체크 원피스(GL5N0OP50),"32,390원",1000067393435,(주)바바패션/(주)바바패션,중국
